x7, y7, x10, y10, x12, y12, x16, y16,
23, 1227, 31, 131, 28, 212, 20, 2100,
22, 1508, 30, 100, 12, 3988, 19, 2399,
7, 3803, 29, 129, 4, 2804, 18, 2692,
6, 3556, 27, 343, , , 17, 2973,
, , 26, 516, , , 16, 3236,
, , 25, 725, , , , ,
, , 24, 964, , , , ,
, , 21, 1801, , , , ,
, , 15, 3475, , , , ,
, , 14, 3684, , , , ,
, , 13, 3857, , , , ,
, , 11, 4071, , , , ,
, , 10, 4100, , , , ,
, , 9, 4069, , , , ,
, , 8, 3972, , , , ,
, , 5, 3225, , , , ,
, , 3, 2287, , , , ,
, , 2, 1668, , , , ,
, , 1, 941, , , , ,
, , 0, 100, , , , ,
