gen,val,
1,-3.20699,
2,-4.09499,
3,-4.85388,
4,-5.51181,
5,-5.97291,
6,-6.26904,
7,-6.56234,
8,-6.91085,
9,-7.05661,
10,-7.22393,
11,-7.27222,
12,-7.66728,
13,-7.71173,
14,-7.76485,
15,-7.80585,
16,-7.82052,
17,-7.84616,
18,-7.86498,
19,-7.87948,
20,-7.97278,
21,-7.97666,
22,-7.99620,
23,-8.32025,
24,-8.32347,
25,-8.33625,
26,-8.37078,
27,-8.37495,
28,-8.37642,
29,-8.38165,
30,-8.38259,
31,-8.38498,
32,-8.38621,
33,-8.38671,
34,-8.38690,
35,-8.38740,
36,-8.38747,
37,-8.38818,
38,-8.38961,
39,-8.39007,
40,-8.39022,
41,-8.39053,
42,-8.39065,
43,-8.39073,
44,-8.39092,
45,-8.39099,
46,-8.39104,
47,-8.39110,
48,-8.39110,
49,-8.39112,
50,-8.39113,
51,-8.39117,
52,-8.39117,
53,-8.39116,
54,-8.39116,
55,-8.39117,
56,-8.39117,
57,-8.39116,
58,-8.39116,
59,-8.39116,
60,-8.39116,
61,-8.39117,
62,-8.39116,
63,-8.39118,
64,-8.39117,
65,-8.39117,
66,-8.39117,
67,-8.39116,
68,-8.39116,
69,-8.39116,
70,-8.39116,
71,-8.39117,
72,-8.39116,
73,-8.39116,
74,-8.39116,
75,-8.39117,
76,-8.39117,
77,-8.39116,
78,-8.39117,
79,-8.39117,
80,-8.39117,
81,-8.39117,
82,-8.39117,
83,-8.39116,
84,-8.39116,
85,-8.39116,
86,-8.39116,
87,-8.39116,
88,-8.39116,
89,-8.39116,
90,-8.39116,
91,-8.39116,
92,-8.39116,
93,-8.39116,
94,-8.39116,
95,-8.39116,
96,-8.39116,
97,-8.39115,
98,-8.39117,
99,-8.39116,
100,-8.39116,
101,-8.39116,
102,-8.39116,
103,-8.39116,
104,-8.39116,
105,-8.39116,
106,-8.39116,
107,-8.39116,
108,-8.39116,
109,-8.39116,
110,-8.39116,
111,-8.39116,
112,-8.39115,
113,-8.39115,
114,-8.39115,
115,-8.39115,
116,-8.39115,
117,-8.39116,
118,-8.39115,
119,-8.39115,
120,-8.39118,
121,-8.39118,
122,-8.39118,
123,-8.39118,
124,-8.39118,
125,-8.39119,
126,-8.39119,
127,-8.39119,
128,-8.39119,
129,-8.39119,
130,-8.39119,
131,-8.39119,
132,-8.39119,
133,-8.39119,
134,-8.39119,
135,-8.39119,
136,-8.39119,
137,-8.39119,
138,-8.39118,
139,-8.39118,
140,-8.39118,
141,-8.39118,
142,-8.39118,
143,-8.39157,
144,-8.39157,
145,-8.39157,
146,-8.39157,
147,-8.39157,
148,-8.39156,
149,-8.39156,
150,-8.39156,
151,-8.39156,
152,-8.39156,
153,-8.39156,
154,-8.39156,
155,-8.39156,
156,-8.39156,
157,-8.39156,
158,-8.39156,
159,-8.39156,
160,-8.39156,
161,-8.39156,
162,-8.39156,
163,-8.39158,
164,-8.39158,
165,-8.39158,
166,-8.39158,
167,-8.39158,
168,-8.39158,
169,-8.39158,
170,-8.39157,
171,-8.39158,
172,-8.39158,
173,-8.39158,
174,-8.39158,
175,-8.39158,
176,-8.39158,
177,-8.39159,
178,-8.39159,
179,-8.39158,
180,-8.39158,
181,-8.39158,
182,-8.39158,
183,-8.39158,
184,-8.39158,
185,-8.39157,
186,-8.39157,
187,-8.39157,
188,-8.39157,
189,-8.39157,
190,-8.39157,
191,-8.39157,
192,-8.67331,
193,-8.67395,
194,-8.67499,
195,-8.67575,
196,-8.67607,
197,-8.67607,
198,-8.67611,
199,-8.67611,
200,-8.67611,
201,-8.67611,
202,-8.67611,
203,-8.67611,
204,-8.67611,
205,-8.67611,
206,-8.67612,
207,-8.67612,
208,-8.67612,
209,-8.67612,
210,-8.67615,
211,-8.67615,
212,-8.67615,
213,-8.67614,
214,-8.67613,
215,-8.67615,
216,-8.67615,
217,-8.67615,
218,-8.67615,
219,-8.67615,
220,-8.67615,
221,-8.67615,
222,-8.67615,
223,-8.67615,
224,-8.67615,
225,-8.67615,
226,-8.67615,
227,-8.67615,
228,-8.67616,
229,-8.67616,
230,-8.67616,
231,-8.67616,
232,-8.67616,
233,-8.67615,
234,-8.67615,
235,-8.67615,
236,-8.86480,
237,-8.88713,
238,-8.94376,
239,-8.95032,
240,-8.95086,
241,-8.95180,
242,-8.95180,
243,-8.95180,
244,-8.95180,
245,-8.95179,
246,-8.95179,
247,-8.95179,
248,-8.95179,
249,-8.95179,
250,-8.95180,
251,-8.95180,
252,-8.95180,
253,-8.95180,
254,-8.95180,
255,-8.95180,
256,-8.95180,
257,-8.95180,
258,-8.95179,
259,-8.95179,
260,-8.95179,
261,-8.95179,
262,-8.95179,
263,-8.95178,
264,-8.95178,
265,-8.95178,
266,-8.95178,
267,-8.95178,
268,-8.95178,
269,-8.95178,
270,-8.95179,
271,-8.95179,
272,-8.95179,
273,-8.95179,
274,-8.95179,
275,-8.95179,
276,-8.95179,
277,-8.95179,
278,-8.95179,
279,-8.95179,
280,-8.95179,
281,-8.95179,
282,-8.95179,
283,-8.95179,
284,-8.95179,
285,-8.95179,
286,-8.95179,
287,-8.95179,
288,-8.95179,
289,-8.95179,
290,-8.95179,
291,-8.95179,
