gen,val,
1,34.79668,
2,25.16163,
3,21.54981,
4,19.13464,
5,18.23055,
6,16.67983,
7,13.41982,
8,12.95506,
9,12.52325,
10,12.15428,
11,11.73683,
12,11.65584,
13,11.49811,
14,11.47935,
15,11.47705,
16,11.44147,
17,11.43918,
18,11.43354,
19,11.42923,
20,11.42819,
21,11.42790,
22,11.42759,
23,11.42746,
24,11.42739,
25,11.42632,
26,11.42632,
27,11.42628,
28,11.42629,
29,11.42627,
30,11.42626,
31,11.42620,
32,11.42618,
33,11.42617,
34,11.42617,
35,11.42617,
36,11.42618,
37,11.42618,
38,11.42618,
39,11.42618,
40,11.42618,
41,11.42618,
42,11.42618,
43,11.42618,
44,11.42618,
45,8.40297,
46,7.62253,
47,7.46556,
48,7.45100,
49,7.44743,
50,7.44658,
51,7.44639,
52,7.44637,
53,7.44637,
54,7.44635,
55,7.44635,
56,7.44635,
57,7.44636,
58,7.44636,
59,7.44635,
60,7.44635,
61,7.44635,
62,7.44635,
63,7.44635,
64,7.44635,
65,7.44635,
66,7.44635,
67,7.44635,
68,7.44635,
69,7.44635,
70,7.44635,
71,7.44635,
72,7.44635,
73,7.44635,
74,7.44635,
75,7.44635,
76,7.44635,
77,7.44635,
78,7.44635,
79,7.44635,
80,7.44635,
81,7.44635,
82,7.44635,
83,7.44635,
84,7.44635,
85,7.44635,
86,7.44635,
87,7.44635,
88,7.44635,
89,7.44635,
90,7.44635,
91,7.44635,
92,7.44635,
93,7.44635,
94,7.44635,
95,7.44635,
96,7.44635,
97,7.44635,
98,7.44634,
99,7.44635,
100,7.44635,
101,7.44635,
102,7.44635,
103,7.44635,
104,7.44635,
105,7.44635,
106,7.44635,
107,7.44635,
108,7.44635,
109,7.44635,
110,7.44635,
111,7.44635,
112,7.44635,
113,7.44635,
114,7.44635,
115,7.44635,
116,7.44635,
117,7.44635,
118,7.44635,
119,7.44635,
120,7.44634,
121,7.44635,
122,7.44635,
123,7.44635,
124,7.44635,
125,7.44635,
126,7.44635,
127,7.44635,
128,7.44635,
129,7.44635,
130,7.44635,
131,7.44635,
132,7.44635,
133,7.44635,
134,4.42315,
135,3.64449,
136,3.59031,
137,3.57827,
138,3.46940,
139,3.46693,
140,3.46679,
141,3.46664,
142,3.46657,
143,3.46654,
144,3.46654,
145,3.46652,
146,3.46652,
147,3.46652,
148,3.46652,
149,3.46652,
150,3.46652,
151,3.46652,
152,3.46652,
153,3.46652,
154,3.46652,
155,3.46652,
156,3.46652,
157,3.46652,
158,3.46652,
159,3.46652,
160,3.46652,
161,3.46652,
162,3.46652,
163,3.46652,
164,3.46652,
165,3.46652,
166,3.46652,
167,3.46652,
168,3.46652,
169,3.46652,
170,3.46652,
171,3.46652,
172,3.46651,
173,3.46651,
174,3.46652,
175,3.46652,
176,3.46652,
177,3.46652,
178,3.46652,
179,3.46652,
180,3.46652,
181,3.46652,
182,3.46652,
183,3.46652,
184,3.46652,
185,3.46652,
186,3.46652,
187,2.71362,
188,2.51617,
189,2.47652,
190,2.47435,
191,2.47186,
192,2.47173,
193,2.47170,
194,2.47157,
195,2.47157,
196,2.47157,
197,2.47158,
198,2.47157,
199,2.47157,
200,2.47156,
201,2.47156,
202,2.47157,
203,2.47156,
204,2.47156,
205,2.47157,
206,2.47157,
207,2.47157,
208,2.47157,
209,2.47157,
210,2.47157,
211,2.47157,
212,2.47157,
213,2.47157,
214,2.47157,
215,2.47157,
216,2.47157,
217,2.47157,
218,2.47157,
219,2.47157,
220,2.47157,
221,2.47157,
222,2.47157,
223,2.47157,
224,2.47157,
225,2.47157,
226,2.47157,
227,2.47157,
228,2.47157,
229,2.47157,
230,2.47157,
231,2.47157,
232,2.47157,
233,2.47157,
234,2.47157,
235,2.47157,
236,2.47157,
237,2.47157,
238,2.47157,
239,2.47157,
240,2.47157,
241,2.47157,
242,2.47157,
243,2.47157,
244,2.47157,
245,2.47156,
246,2.47156,
247,2.47157,
248,2.47157,
249,2.47157,
250,2.47157,
251,2.47157,
252,2.47157,
253,2.47157,
254,2.47157,
255,2.47157,
256,2.47157,
257,2.47157,
258,2.47157,
259,2.47157,
260,2.47157,
261,2.47158,
262,2.47158,
263,2.47157,
264,2.47157,
265,2.47157,
266,2.47157,
267,2.47157,
268,2.47157,
269,2.47157,
270,2.47157,
271,2.47157,
272,2.47157,
273,2.47157,
274,2.47157,
275,2.47157,
276,2.47157,
277,2.47157,
278,2.47157,
279,2.47157,
280,2.47157,
281,2.47157,
282,2.47157,
283,2.47157,
284,2.47157,
285,2.47157,
286,2.47157,
287,2.47157,
288,2.47157,
289,2.47157,
290,2.47157,
291,2.47158,
292,2.47158,
293,2.47157,
294,2.47157,
295,2.47157,
296,2.47157,
297,2.47157,
298,2.47157,
299,2.47157,
300,2.47156,
301,2.47157,
302,2.47157,
303,2.47157,
304,2.47157,
305,2.47157,
306,2.47157,
307,2.47157,
308,2.47157,
309,2.47157,
310,2.47157,
311,2.47158,
312,2.47157,
313,2.47157,
314,2.47156,
315,2.47156,
316,2.47156,
317,2.47157,
318,2.47157,
319,2.47157,
320,2.47157,
321,2.47157,
322,2.47157,
323,2.47157,
324,2.47157,
325,2.47157,
326,2.47157,
327,2.47157,
328,2.47157,
329,2.47157,
330,2.47157,
331,2.47157,
332,2.47157,
333,2.47157,
334,2.47157,
335,2.47157,
336,2.47157,
337,2.47158,
338,2.47158,
339,2.47157,
340,2.47157,
341,2.47157,
342,2.47157,
343,2.47157,
344,2.47156,
345,2.47156,
346,2.47156,
347,2.47156,
348,2.47156,
349,2.47157,
350,2.47157,
351,2.47157,
352,2.47157,
353,2.47156,
354,2.47156,
355,2.47156,
356,2.47156,
357,2.47156,
358,2.47156,
