gen,val,
1,-1824.89513,
2,-2311.55580,
3,-2466.87628,
4,-2598.87963,
5,-2691.38835,
6,-2771.65885,
7,-2819.08697,
8,-2958.22412,
9,-3025.97417,
10,-3346.57976,
11,-3367.37685,
12,-3412.86753,
13,-3423.11876,
14,-3429.40595,
15,-3443.36211,
16,-3451.81842,
17,-3457.14567,
18,-3478.63922,
19,-3481.65005,
20,-3485.90601,
21,-3487.76484,
22,-3492.70814,
23,-3495.43988,
24,-3496.40768,
25,-3499.04313,
26,-3502.20069,
27,-3504.31017,
28,-3505.55694,
29,-3506.63300,
30,-3507.07735,
31,-3507.59008,
32,-3507.79692,
33,-3509.31943,
34,-3616.87573,
35,-3628.94525,
36,-3629.25529,
37,-3629.45706,
38,-3629.55224,
39,-3629.59013,
40,-3629.82422,
41,-3629.92072,
42,-3629.99777,
43,-3630.22234,
44,-3630.28720,
45,-3664.61405,
46,-3706.81713,
47,-3711.10449,
48,-3712.08034,
49,-3712.11079,
50,-3714.15023,
51,-3714.40278,
52,-3714.40669,
53,-3714.43798,
54,-3714.45716,
55,-3714.53338,
56,-3714.57116,
57,-3714.58692,
58,-3714.60261,
59,-3714.61220,
60,-3714.61966,
61,-3714.62322,
62,-3714.62527,
63,-3714.62624,
64,-3714.75145,
65,-3714.75933,
66,-3714.76263,
67,-3714.76438,
68,-3714.76439,
69,-3714.76710,
70,-3714.76949,
71,-3714.77037,
72,-3714.77285,
73,-3714.77412,
74,-3714.77434,
75,-3714.77553,
76,-3714.77684,
77,-3714.77774,
78,-3714.77798,
79,-3714.77820,
80,-3714.77835,
81,-3714.77873,
82,-3714.78009,
83,-3714.78187,
84,-3714.78228,
85,-3714.78239,
86,-3714.78260,
87,-3714.78286,
88,-3714.78323,
89,-3714.78348,
90,-3714.78358,
91,-3714.78375,
92,-3714.78376,
93,-3714.78398,
94,-3714.78405,
95,-3714.78410,
96,-3714.78410,
97,-3714.78412,
98,-3714.78422,
99,-3714.78434,
100,-3714.78437,
101,-3714.78456,
102,-3714.78459,
103,-3714.78470,
104,-3714.78476,
105,-3714.78476,
106,-3714.78477,
107,-3714.78480,
108,-3714.78481,
109,-3714.78481,
110,-3714.78488,
111,-3714.78488,
112,-3714.78491,
113,-3714.78492,
114,-3714.78495,
115,-3714.78497,
116,-3714.78497,
117,-3714.78497,
118,-3714.78503,
119,-3714.78503,
120,-3714.78503,
121,-3714.78503,
122,-3714.78503,
123,-3714.78503,
124,-3714.78503,
125,-3714.78503,
126,-3714.78503,
127,-3714.78503,
128,-3714.78503,
129,-3714.78503,
130,-3714.78506,
131,-3714.78506,
132,-3714.78506,
133,-3722.01228,
134,-3748.73541,
135,-3748.73541,
136,-3748.86062,
137,-3748.86073,
138,-3748.91687,
139,-3748.91687,
140,-3748.91687,
141,-3748.91687,
142,-3748.91687,
143,-3748.91687,
144,-3748.91688,
145,-3748.91688,
146,-3748.91688,
147,-3748.91688,
148,-3748.91688,
149,-3748.91688,
150,-3748.91688,
151,-3748.91688,
152,-3748.91688,
153,-3748.91688,
154,-3748.91688,
155,-3748.91688,
156,-3748.91688,
157,-3748.91688,
158,-3748.91691,
159,-3748.91691,
160,-3748.91691,
161,-3748.91691,
162,-3748.91691,
163,-3748.91691,
164,-3748.91691,
165,-3748.91691,
166,-3782.17474,
167,-3782.94109,
168,-3791.54866,
169,-3792.99592,
170,-3832.27435,
171,-3832.62036,
172,-3832.74647,
173,-3832.99754,
174,-3833.00145,
175,-3833.00347,
176,-3833.00441,
177,-3833.00441,
178,-3833.06508,
179,-3833.08073,
180,-3833.09246,
181,-3833.09344,
182,-3833.09344,
183,-3833.09350,
184,-3833.09351,
185,-3833.10133,
186,-3833.10133,
187,-3833.10133,
188,-3833.10133,
189,-3833.10133,
190,-3833.11686,
191,-3833.11919,
192,-3833.11922,
193,-3833.12008,
194,-3833.12030,
195,-3833.12030,
196,-3833.12090,
