gen,val,
1,148.38705,
2,107.54646,
3,98.26058,
4,83.97147,
5,71.62701,
6,57.35691,
7,51.79244,
8,51.03064,
9,38.33402,
10,37.76761,
11,27.61767,
12,24.97791,
13,20.41644,
14,20.23942,
15,15.72350,
16,16.68090,
17,15.10340,
18,13.47253,
19,9.38158,
20,9.58815,
21,8.44766,
22,7.83385,
23,6.58759,
24,6.44807,
25,5.72760,
26,5.03490,
27,4.89251,
28,3.65945,
29,3.39512,
30,3.07240,
31,2.91761,
32,2.62229,
33,2.39013,
34,2.15177,
35,1.94898,
36,1.75157,
37,1.69083,
38,1.44205,
39,1.40295,
40,1.23229,
41,1.08235,
42,0.92729,
43,1.02006,
44,0.86993,
45,0.72674,
46,0.71793,
47,0.67627,
48,0.57915,
49,0.57920,
50,0.52474,
51,0.42263,
52,0.47321,
53,0.43634,
54,0.43195,
55,0.42052,
56,0.38784,
57,0.38185,
58,0.38049,
59,0.33393,
60,0.33113,
61,0.32444,
62,0.28462,
63,0.28528,
64,0.25930,
65,0.23332,
66,0.24009,
67,0.20154,
68,0.17667,
69,0.17404,
70,0.15070,
71,0.14954,
72,0.14067,
73,0.14283,
74,0.13788,
75,0.13645,
76,0.12893,
77,0.11363,
78,0.11328,
79,0.08480,
80,0.08699,
81,0.07428,
82,0.07194,
83,0.05841,
84,0.06567,
85,0.05816,
86,0.05548,
87,0.05209,
88,0.05162,
89,0.04349,
90,0.03976,
91,0.03390,
92,0.03243,
93,0.03327,
94,0.03060,
95,0.03197,
96,0.02900,
97,0.03107,
98,0.02816,
99,0.02788,
100,0.02638,
101,0.02204,
102,0.02476,
103,0.02359,
104,0.02235,
105,0.01775,
106,0.01828,
107,0.01417,
108,0.01417,
109,0.01437,
110,0.01631,
111,0.01348,
112,0.01473,
113,0.01336,
114,0.01454,
115,0.01385,
116,0.01314,
117,0.01524,
118,0.01714,
119,0.01687,
120,0.01709,
121,0.01616,
122,0.01629,
123,0.01604,
124,0.01486,
125,0.01352,
126,0.01107,
127,0.01114,
128,0.01296,
129,0.01140,
130,0.01142,
131,0.01204,
132,0.01306,
133,0.01509,
134,0.01496,
135,0.01490,
136,0.01405,
137,0.01480,
138,0.01394,
139,0.01354,
140,0.01199,
141,0.01315,
142,0.01357,
143,0.01297,
144,0.01226,
145,0.01095,
146,0.01322,
147,0.01366,
148,0.01290,
149,0.01240,
150,0.01246,
151,0.01222,
152,0.01231,
153,0.01365,
154,0.01312,
155,0.01117,
156,0.01181,
157,0.01188,
158,0.01184,
159,0.01134,
160,0.00952,
161,0.00970,
