gen,val,
1,-3.09139,
2,-4.78503,
3,-5.44578,
4,-5.62369,
5,-5.75193,
6,-6.44144,
7,-6.96255,
8,-7.06197,
9,-7.19748,
10,-7.32054,
11,-7.49262,
12,-7.50147,
13,-7.58566,
14,-7.64187,
15,-7.71724,
16,-7.78140,
17,-7.81791,
18,-7.84914,
19,-7.86473,
20,-7.88067,
21,-7.88144,
22,-7.89698,
23,-7.90334,
24,-7.90623,
25,-7.91126,
26,-7.92094,
27,-7.92293,
28,-7.92721,
29,-7.92923,
30,-7.93036,
31,-7.93256,
32,-7.93393,
33,-7.93451,
34,-7.93492,
35,-7.93536,
36,-7.93590,
37,-7.93689,
38,-7.93695,
39,-7.93689,
40,-7.93716,
41,-7.93738,
42,-7.93743,
43,-7.93771,
44,-7.93794,
45,-7.93858,
46,-8.37106,
47,-8.37209,
48,-8.45005,
49,-8.46027,
50,-8.47122,
51,-8.47173,
52,-8.47169,
53,-8.47844,
54,-8.47844,
55,-8.47845,
56,-8.47845,
57,-8.47851,
58,-8.47854,
59,-8.47854,
60,-8.47856,
61,-8.47856,
62,-8.47856,
63,-8.47878,
64,-8.47880,
65,-8.47880,
66,-8.47880,
67,-8.47883,
68,-8.47884,
69,-8.54187,
70,-8.54304,
71,-8.54370,
72,-8.66137,
73,-8.66132,
74,-8.66145,
75,-8.66146,
76,-8.66153,
77,-8.66153,
78,-8.66153,
79,-8.66153,
80,-8.66154,
81,-8.66155,
82,-8.66157,
83,-8.66157,
84,-8.66160,
85,-8.66159,
86,-8.66159,
87,-8.66160,
88,-8.66159,
89,-8.66160,
90,-8.66161,
91,-8.66162,
92,-8.66163,
93,-8.66164,
94,-8.66165,
95,-8.66164,
96,-8.66164,
97,-8.66164,
98,-8.66164,
99,-8.66164,
100,-8.66164,
101,-8.73078,
102,-8.73079,
103,-8.73079,
104,-8.73079,
105,-8.73875,
106,-8.73881,
107,-8.73896,
108,-8.73898,
109,-8.73898,
110,-8.73898,
111,-8.73898,
112,-8.93990,
113,-8.93990,
114,-8.95561,
115,-8.97119,
116,-8.97518,
117,-8.97743,
118,-8.97837,
119,-8.97860,
120,-8.97860,
121,-8.97861,
122,-8.97867,
123,-8.97868,
124,-8.97867,
125,-8.97867,
126,-8.97867,
127,-8.97868,
128,-8.97871,
129,-8.97870,
130,-8.97871,
131,-8.99284,
132,-8.99333,
133,-8.99334,
134,-8.99334,
135,-8.99333,
136,-8.99334,
137,-8.99334,
138,-8.99334,
139,-8.99335,
140,-8.99369,
141,-8.99369,
142,-8.99375,
143,-8.99375,
144,-8.99403,
145,-8.99407,
146,-8.99407,
147,-8.99407,
148,-8.99407,
149,-8.99406,
150,-8.99407,
151,-8.99407,
152,-8.99406,
153,-8.99407,
154,-8.99407,
155,-8.99408,
156,-8.99407,
157,-8.99407,
158,-8.99408,
159,-8.99407,
160,-8.99406,
161,-8.99407,
162,-8.99408,
163,-8.99409,
164,-8.99409,
165,-8.99408,
166,-8.99408,
167,-8.99409,
168,-8.99408,
169,-8.99408,
170,-8.99409,
171,-8.99409,
172,-8.99408,
173,-8.99409,
174,-8.99409,
175,-8.99408,
176,-8.99408,
177,-8.99408,
178,-8.99408,
179,-8.99407,
180,-8.99408,
181,-8.99407,
182,-8.99408,
183,-8.99408,
184,-8.99408,
185,-8.99408,
186,-8.99408,
187,-8.99408,
188,-8.99408,
189,-8.99408,
190,-8.99408,
191,-8.99408,
192,-8.99409,
193,-8.99409,
194,-8.99409,
195,-8.99408,
196,-8.99409,
197,-8.99409,
198,-8.99409,
199,-8.99409,
200,-8.99409,
201,-8.99408,
202,-8.99409,
203,-8.99409,
204,-8.99409,
205,-8.99410,
206,-8.99410,
207,-8.99410,
208,-8.99409,
209,-8.99410,
210,-8.99410,
211,-8.99409,
212,-8.99409,
213,-8.99410,
214,-8.99409,
215,-8.99409,
216,-8.99409,
217,-8.99409,
218,-8.99409,
219,-8.99409,
220,-8.99408,
221,-8.99408,
222,-8.99409,
223,-8.99409,
224,-8.99408,
225,-8.99408,
226,-8.99408,
227,-8.99408,
228,-8.99408,
229,-8.99408,
230,-8.99408,
231,-8.99407,
232,-8.99409,
233,-8.99408,
234,-8.99409,
235,-8.99408,
236,-8.99408,
237,-8.99408,
238,-8.99408,
239,-8.99409,
240,-8.99409,
241,-8.99409,
242,-8.99409,
243,-8.99409,
244,-8.99410,
245,-8.99410,
246,-8.99409,
247,-8.99410,
248,-8.99410,
249,-8.99409,
250,-8.99409,
251,-8.99409,
252,-8.99409,
253,-8.99409,
254,-8.99409,
255,-8.99409,
256,-8.99408,
257,-8.99408,
258,-8.99409,
259,-8.99409,
260,-8.99408,
261,-8.99408,
262,-8.99409,
263,-8.99408,
264,-8.99409,
265,-8.99408,
266,-8.99408,
267,-8.99409,
268,-8.99409,
269,-8.99409,
270,-8.99409,
271,-8.99408,
272,-8.99408,
273,-8.99408,
274,-8.99409,
275,-8.99409,
276,-8.99409,
277,-8.99408,
278,-8.99410,
279,-8.99410,
280,-8.99410,
281,-8.99409,
282,-8.99409,
283,-8.99409,
284,-8.99408,
285,-8.99410,
286,-8.99410,
287,-8.99410,
288,-8.99409,
289,-8.99409,
290,-8.99410,
291,-8.99409,
292,-8.99410,
293,-8.99410,
294,-8.99410,
295,-8.99410,
