gen,val,
1,103.83722,
2,84.37112,
3,66.57948,
4,58.57656,
5,46.06700,
6,40.44358,
7,30.45204,
8,27.72767,
9,24.62402,
10,22.27459,
11,20.72996,
12,19.37796,
13,18.75084,
14,17.14508,
15,14.92675,
16,14.84425,
17,14.76668,
18,12.40030,
19,10.88947,
20,10.58781,
21,10.36742,
22,10.27747,
23,10.14116,
24,9.83508,
25,9.70031,
26,6.83916,
27,6.83295,
28,6.83307,
29,6.69471,
30,6.67047,
31,6.54675,
32,6.54458,
33,6.53833,
34,6.51003,
35,6.50014,
36,6.49879,
37,6.49278,
38,6.48928,
39,6.48693,
40,6.48625,
41,6.48273,
42,6.48245,
43,6.48085,
44,6.47685,
45,6.47382,
46,6.47390,
47,6.47384,
48,6.47306,
49,5.89319,
50,5.79417,
51,5.79368,
52,5.48833,
53,5.47223,
54,5.47050,
55,5.47052,
56,5.46942,
57,5.46940,
58,5.46891,
59,5.46837,
60,5.46840,
61,5.46837,
62,5.46833,
63,5.46795,
64,5.46795,
65,5.46794,
66,5.46790,
67,5.46790,
68,5.46743,
69,5.46743,
70,5.46742,
71,5.46714,
72,5.46694,
73,5.46694,
74,5.46680,
75,5.46691,
76,5.46680,
77,5.46680,
78,5.46673,
79,5.46672,
80,5.46672,
81,5.46668,
82,5.46668,
83,5.46664,
84,5.46659,
85,5.46661,
86,5.46660,
87,5.46659,
88,5.46659,
89,5.46657,
90,5.46656,
91,5.46655,
92,5.46654,
93,5.46654,
94,5.46654,
95,5.46654,
96,5.46654,
97,5.46654,
98,5.46654,
99,5.46654,
100,5.46654,
101,5.46655,
102,5.46654,
103,5.46654,
104,5.46654,
105,5.46654,
106,5.46652,
107,5.46652,
108,5.46652,
109,5.46653,
110,5.46653,
111,5.46653,
112,5.46652,
113,5.46652,
114,5.46652,
115,5.46652,
116,5.46652,
117,5.46652,
118,5.46653,
119,5.46652,
120,5.46653,
121,5.46651,
122,5.46652,
123,5.46651,
124,5.46652,
125,5.46651,
126,5.46651,
127,5.46651,
128,5.46651,
129,5.46651,
130,5.46651,
131,5.46652,
132,5.46651,
133,5.46651,
134,5.46651,
135,5.46651,
136,5.46651,
137,5.46652,
138,5.46652,
139,5.46651,
140,5.46652,
141,5.46652,
142,5.46652,
143,5.46651,
144,5.46651,
145,5.46651,
146,5.46652,
147,5.46650,
148,5.46652,
149,5.46650,
150,5.46652,
151,5.46650,
152,5.46650,
153,5.46650,
154,5.46650,
155,5.46651,
156,5.46651,
157,5.46651,
158,5.46651,
159,5.46651,
160,5.46651,
161,5.46651,
162,5.46651,
163,5.46651,
164,5.46650,
165,5.46651,
166,5.46650,
167,5.46651,
168,5.46651,
169,5.46650,
170,5.46650,
171,5.46650,
172,5.46651,
173,5.46650,
174,5.46651,
175,5.46651,
176,5.46650,
177,5.46651,
178,5.46651,
179,5.46650,
180,5.46651,
181,5.46651,
182,5.46651,
183,5.46651,
184,5.46650,
185,5.46651,
186,5.46651,
187,5.46651,
188,5.46650,
189,5.46651,
190,5.46650,
191,5.46651,
192,5.46651,
193,5.46651,
194,5.46651,
195,5.46651,
196,5.46651,
197,5.46651,
198,5.46651,
199,5.46651,
200,5.46651,
201,5.46651,
202,5.46651,
203,5.46651,
204,5.46651,
205,5.46651,
206,5.46651,
207,5.46651,
208,5.46651,
209,5.46651,
210,5.46651,
211,5.46651,
212,5.46651,
213,5.46651,
214,5.46651,
215,5.46652,
216,5.46651,
217,5.46651,
218,5.46651,
219,5.46651,
220,5.46651,
221,4.78230,
222,4.78230,
223,4.78229,
224,4.78228,
