gen,val,
1,-2494.44500,
2,-3586.91894,
3,-4397.51591,
4,-5048.95436,
5,-5220.15448,
6,-5562.50450,
7,-5838.75865,
8,-6052.90007,
9,-6457.41247,
10,-6567.91351,
11,-6797.04897,
12,-6952.67595,
13,-7148.77706,
14,-7485.42183,
15,-7801.62060,
16,-7791.99784,
17,-7972.97944,
18,-8053.91085,
19,-8207.90786,
20,-8422.59648,
21,-8658.33440,
22,-8729.26159,
23,-8830.06914,
24,-8897.43803,
25,-8980.22305,
26,-9045.92989,
27,-9192.32727,
28,-9303.55790,
29,-9375.94442,
30,-9449.08956,
31,-9604.00831,
32,-9703.72116,
33,-9736.62301,
34,-9722.09808,
35,-9746.24529,
36,-9842.46900,
37,-9862.73790,
38,-9876.71789,
39,-9997.68091,
40,-10080.22865,
41,-10061.00207,
42,-10098.96214,
43,-10142.75459,
44,-10199.87169,
45,-10230.25757,
46,-10244.32775,
47,-10249.59266,
48,-10268.12583,
49,-10279.27243,
50,-10279.39614,
51,-10289.86793,
52,-10295.49845,
53,-10292.84797,
54,-10316.40327,
55,-10313.04535,
56,-10323.83198,
57,-10330.96924,
58,-10337.88587,
59,-10340.29129,
60,-10355.78535,
61,-10372.89798,
62,-10372.27709,
63,-10394.97135,
64,-10394.82913,
65,-10400.81829,
66,-10399.14301,
67,-10410.80154,
68,-10440.85341,
69,-10429.90376,
70,-10426.08936,
71,-10435.39194,
72,-10466.90034,
73,-10468.99965,
74,-10475.37409,
75,-10478.02036,
76,-10674.76283,
77,-10681.94604,
78,-10672.86076,
79,-10681.20044,
80,-10694.11709,
81,-10698.22368,
82,-10709.81360,
83,-10722.28901,
84,-10721.00975,
85,-10720.60540,
86,-10735.12848,
87,-10740.96855,
88,-10744.59231,
89,-10749.45523,
90,-10756.47733,
91,-10753.43492,
92,-10756.98336,
93,-10756.18853,
94,-10758.33512,
95,-10766.81438,
96,-10765.17603,
97,-10762.50608,
98,-10763.69834,
99,-10761.22925,
100,-10765.54480,
101,-10764.26156,
102,-10766.38973,
103,-10767.05298,
104,-10771.29528,
105,-10776.21458,
106,-10776.49477,
107,-10779.80768,
108,-10775.17341,
109,-10778.78393,
110,-10782.91690,
111,-10778.18255,
112,-10783.00049,
113,-10783.60996,
114,-10786.61328,
115,-10785.91915,
116,-10783.69747,
117,-10786.28910,
118,-10787.22782,
119,-10783.69357,
120,-10787.53043,
121,-10788.20502,
122,-10790.03451,
123,-10790.83308,
124,-10793.19562,
125,-10791.40369,
126,-10790.77527,
127,-10793.78256,
128,-10848.60432,
129,-10848.52480,
130,-10850.12913,
131,-10850.17797,
132,-10846.99288,
133,-10848.34954,
134,-10848.39311,
135,-10854.30506,
136,-10851.58239,
137,-10856.75651,
138,-10856.54642,
139,-10856.43159,
140,-10857.11277,
141,-10860.73283,
142,-10863.91278,
143,-10863.77800,
144,-10858.06849,
145,-10855.94802,
146,-10859.89823,
147,-10860.61162,
148,-10863.41926,
149,-10866.79250,
150,-10863.70667,
151,-10864.11273,
152,-10865.88492,
153,-10864.57128,
154,-10863.97462,
155,-10863.48435,
156,-10864.24471,
157,-10878.71235,
158,-10881.42511,
159,-10878.41228,
160,-10877.54651,
161,-10870.78042,
162,-10869.78895,
163,-10873.41811,
164,-10879.72434,
165,-10883.44809,
166,-10877.75748,
167,-10872.27076,
168,-10872.10043,
169,-10876.38622,
170,-10881.17556,
171,-10880.09761,
172,-10881.15344,
173,-10882.95508,
174,-10887.75314,
175,-10879.40233,
176,-10881.78479,
177,-10875.00048,
178,-10881.94064,
179,-10880.93903,
180,-10882.52961,
181,-10883.05840,
182,-10882.61712,
183,-10884.55945,
184,-10884.60133,
185,-10886.08790,
186,-10886.97565,
187,-10885.07029,
188,-10890.88928,
189,-10884.62816,
190,-10887.15767,
191,-10892.19968,
192,-10892.25137,
193,-10892.44424,
194,-10892.65813,
195,-10889.57395,
196,-10889.40879,
197,-10889.32593,
198,-10888.98380,
199,-10890.25839,
200,-10889.60078,
201,-10889.02730,
202,-10899.65927,
203,-10903.07614,
204,-10902.48625,
205,-10909.13063,
206,-10918.97587,
207,-10910.34910,
208,-10912.16927,
209,-10915.71729,
210,-10917.13844,
211,-10917.14145,
212,-10920.75610,
213,-10917.91189,
214,-11100.49473,
215,-11099.38847,
216,-11089.43256,
217,-11106.88660,
218,-11090.96198,
219,-11094.84991,
220,-11098.67603,
221,-11120.87071,
222,-11124.90461,
223,-11118.08203,
224,-11119.67247,
225,-11126.15432,
226,-11125.96339,
227,-11118.07768,
228,-11129.57236,
229,-11127.68847,
230,-11130.91293,
231,-11134.45273,
232,-11141.56372,
233,-11142.95780,
234,-11141.04510,
235,-11150.86099,
236,-11153.16800,
237,-11154.88191,
238,-11153.38297,
239,-11155.87825,
240,-11153.08761,
241,-11158.94182,
242,-11154.25792,
243,-11154.31162,
244,-11156.12601,
245,-11164.41537,
246,-11159.66351,
247,-11159.77189,
248,-11159.25604,
249,-11159.99114,
250,-11162.30409,
251,-11157.28839,
252,-11167.27261,
253,-11174.72477,
254,-11175.81521,
255,-11174.57134,
256,-11178.43262,
257,-11178.02295,
258,-11180.14061,
259,-11181.19176,
260,-11181.51920,
261,-11183.00217,
262,-11181.05131,
263,-11181.31848,
264,-11180.96325,
265,-11187.79993,
266,-11189.01174,
267,-11185.51934,
268,-11189.40450,
269,-11190.55329,
270,-11189.38633,
271,-11188.25403,
272,-11191.93291,
273,-11190.29508,
274,-11196.38755,
275,-11196.95149,
276,-11192.47420,
277,-11192.31793,
278,-11193.84736,
279,-11193.60886,
280,-11191.66518,
281,-11193.66708,
282,-11190.81097,
283,-11191.88250,
284,-11193.17411,
285,-11193.92251,
286,-11194.42844,
287,-11194.34092,
288,-11190.51428,
289,-11197.20117,
290,-11204.85166,
291,-11199.55823,
292,-11198.01281,
293,-11198.51391,
294,-11198.79813,
295,-11198.30447,
296,-11200.16557,
297,-11198.15443,
298,-11197.86958,
299,-11198.43524,
300,-11199.09885,
301,-11199.34859,
302,-11195.92330,
303,-11198.42875,
304,-11199.43797,
305,-11197.71652,
306,-11197.60565,
307,-11197.31330,
308,-11197.57553,
309,-11197.49020,
310,-11198.43960,
311,-11200.49279,
312,-11200.21368,
313,-11200.24447,
314,-11198.48410,
315,-11200.08810,
316,-11198.81407,
317,-11199.25293,
318,-11199.89234,
319,-11199.07136,
320,-11199.28978,
321,-11199.06999,
322,-11212.18523,
323,-11234.04546,
324,-11220.82494,
325,-11221.15972,
326,-11218.77440,
327,-11255.13715,
328,-11251.73437,
329,-11259.96791,
330,-11250.75444,
331,-11251.45867,
332,-11261.03172,
333,-11270.03652,
334,-11269.11590,
335,-11271.21589,
336,-11273.18220,
337,-11271.87097,
338,-11275.41359,
339,-11271.84580,
340,-11274.36078,
341,-11275.67098,
342,-11276.54504,
343,-11275.22811,
344,-11276.07084,
345,-11276.99552,
346,-11274.74278,
347,-11272.03532,
348,-11294.26861,
349,-11309.02504,
350,-11306.11279,
351,-11306.11704,
352,-11307.08408,
353,-11327.73549,
354,-11345.40115,
355,-11344.44173,
356,-11341.19517,
357,-11348.09496,
358,-11348.50160,
359,-11348.38141,
360,-11348.24095,
361,-11351.80381,
362,-11353.33727,
363,-11353.49937,
364,-11352.05704,
365,-11350.28983,
366,-11346.84890,
367,-11349.48215,
368,-11349.41539,
369,-11355.08277,
370,-11355.13111,
371,-11353.97188,
372,-11356.32629,
373,-11353.38539,
374,-11353.71307,
375,-11353.24552,
376,-11353.85918,
377,-11352.72380,
378,-11356.41656,
379,-11355.32088,
380,-11355.19794,
381,-11353.62228,
382,-11353.51408,
383,-11354.42596,
384,-11352.94907,
385,-11352.89652,
386,-11353.82806,
387,-11360.90520,
388,-11355.40527,
389,-11364.78317,
390,-11400.62855,
391,-11378.41006,
392,-11383.05486,
393,-11383.00016,
394,-11373.13851,
395,-11383.42974,
396,-11394.58448,
397,-11400.06301,
398,-11597.19362,
399,-11583.48018,
400,-11577.76979,
401,-11611.23468,
402,-11598.16576,
403,-11607.30715,
404,-11621.85632,
405,-11618.79697,
406,-11620.87087,
407,-11625.74579,
408,-11618.34076,
409,-11622.28714,
410,-11618.79187,
411,-11621.83932,
412,-11622.66367,
413,-11622.98876,
414,-11626.15948,
415,-11625.89990,
416,-11626.16022,
417,-11626.33342,
418,-11624.91008,
419,-11623.71491,
420,-11627.31668,
421,-11627.72247,
422,-11627.66620,
423,-11628.09207,
424,-11627.69308,
425,-11629.66606,
426,-11633.51301,
427,-11632.40320,
428,-11630.91857,
429,-11631.48082,
430,-11633.27573,
431,-11631.53735,
432,-11634.76880,
433,-11634.89299,
434,-11635.04903,
435,-11635.05443,
436,-11632.13993,
437,-11633.70091,
438,-11632.85330,
439,-11633.91833,
440,-11634.09346,
441,-11633.69497,
442,-11628.59986,
443,-11630.00524,
444,-11632.36421,
445,-11633.34684,
446,-11632.07277,
447,-11633.69438,
448,-11636.97823,
449,-11636.22399,
450,-11634.58703,
451,-11634.09062,
452,-11635.58794,
453,-11638.07119,
454,-11640.03675,
455,-11640.24194,
456,-11637.99325,
457,-11637.68917,
458,-11635.41903,
459,-11635.69973,
460,-11635.33447,
461,-11633.77064,
462,-11634.96122,
463,-11637.71809,
464,-11635.82670,
465,-11635.96740,
466,-11636.12037,
467,-11633.69012,
468,-11662.95548,
469,-11661.40530,
470,-11652.98873,
471,-11660.94098,
472,-11694.14186,
473,-11697.37202,
474,-11698.43452,
475,-11697.40550,
476,-11698.58933,
477,-11696.63541,
478,-11695.11861,
479,-11695.55437,
480,-11696.98697,
481,-11697.74548,
482,-11697.68760,
483,-11698.86621,
484,-11698.97937,
485,-11701.54125,
486,-11703.46334,
487,-11707.14130,
488,-11714.20629,
489,-11704.85728,
490,-11706.96423,
491,-11706.67405,
492,-11705.58053,
493,-11706.20212,
494,-11707.18321,
495,-11705.94700,
496,-11706.79053,
497,-11709.18796,
498,-11703.22930,
499,-11717.76492,
500,-11721.17315,
501,-11720.63293,
502,-11721.01314,
503,-11722.87632,
504,-11721.23006,
505,-11718.09634,
506,-11737.48521,
507,-11738.38434,
508,-11735.33486,
509,-11740.79258,
510,-11738.04772,
511,-11757.94215,
512,-11754.41978,
513,-11758.77886,
514,-11758.87731,
515,-11757.91217,
516,-11775.96195,
517,-11763.78112,
518,-11776.20591,
519,-11777.08672,
520,-11778.74714,
521,-11775.34055,
522,-11775.17977,
523,-11776.22372,
524,-11775.59670,
525,-11778.82678,
526,-11772.90416,
527,-11775.41031,
528,-11773.05489,
529,-11777.60488,
530,-11779.35071,
531,-11781.03426,
532,-11781.67222,
533,-11781.67467,
534,-11781.69130,
535,-11781.64622,
536,-11781.33598,
537,-11782.87250,
538,-11784.28016,
539,-11783.65161,
540,-11782.12293,
541,-11796.96124,
542,-11849.81003,
543,-11830.76898,
544,-11855.13452,
545,-11844.82777,
546,-11862.96189,
547,-11879.99616,
548,-11884.97408,
549,-11885.20910,
550,-11885.26587,
551,-11888.41177,
552,-11894.08027,
553,-11895.63388,
554,-11900.56254,
555,-11929.27078,
556,-11916.68804,
557,-11926.07172,
558,-11938.98050,
559,-11952.17618,
560,-11947.65633,
561,-11954.11177,
562,-11959.88894,
563,-11960.72161,
564,-11966.61277,
565,-11978.68126,
566,-11977.61257,
567,-11970.86183,
568,-11979.17861,
569,-11971.61992,
570,-11973.40371,
571,-11977.41635,
572,-11975.98638,
573,-11978.04658,
574,-11978.73164,
575,-11978.69654,
576,-11980.94627,
577,-11980.44103,
578,-11982.65075,
579,-11982.64308,
580,-11986.67745,
581,-11985.78562,
582,-11986.01952,
583,-11983.17297,
584,-11984.14422,
585,-11986.37114,
586,-11986.27675,
587,-11986.54374,
